sale,first_tree,last_tree,days_between,turn_around
226,"2011-01-08 20:00:00","2017-12-18 06:00:00",2536,Slow
227,"2000-03-16 22:23:00","2020-04-22 06:00:00",7342,Slow
228,"2020-04-22 06:00:00","2020-04-22 06:00:00",0,Fast
229,"2020-04-22 06:00:00","2021-09-17 06:00:00",513,Slow
230,"2021-09-20 06:00:00","2023-04-25 06:00:00",582,Slow
231,"1992-01-01 09:03:00","2020-02-13 06:00:00",10270,Slow
232,"2020-02-13 06:00:00","2020-05-03 06:00:00",80,Fast
233,"2020-05-03 06:00:00","2020-05-28 06:00:00",25,Fast
234,"2020-05-31 06:00:00","2023-11-05 05:00:00",1253,Slow
235,"1991-03-05 23:51:00","2000-06-01 21:46:00",3376,Slow
236,"2001-02-26 19:25:00","2010-01-28 11:09:00",3258,Slow
237,"1991-07-27 00:49:00","2022-02-20 06:00:00",11166,Slow
238,"1991-08-27 07:15:00","2008-05-14 15:34:00",6105,Slow
239,"2008-05-21 07:01:00","2018-11-23 06:00:00",3838,Slow
240,"2019-04-06 06:00:00","2020-05-21 06:00:00",411,Slow
241,"2020-05-21 06:00:00","2022-05-21 06:00:00",730,Slow
242,"2022-06-28 06:00:00","2023-07-26 06:00:00",393,Slow
243,"2023-07-26 06:00:00","2024-05-27 06:00:00",306,Slow
244,"1991-04-19 12:35:00","2016-03-07 06:00:00",9089,Slow
245,"2016-07-05 06:00:00","2020-02-27 06:00:00",1332,Slow
246,"2020-02-27 06:00:00","2021-01-31 06:00:00",339,Slow
247,"2021-01-31 06:00:00","2023-03-09 06:00:00",767,Slow
248,"2023-03-12 06:00:00","2025-01-15 06:00:00",675,Slow
249,"2015-03-01 06:00:00","2016-11-03 05:00:00",613,Slow
250,"2017-01-25 06:00:00","2018-10-12 06:00:00",625,Slow
251,"2018-10-20 06:00:00","2020-01-19 06:00:00",456,Slow
252,"2020-02-08 06:00:00","2020-04-22 06:00:00",74,Fast
253,"2020-04-22 06:00:00","2020-09-07 06:00:00",138,Average
254,"2020-09-12 06:00:00","2021-05-09 06:00:00",239,Slow
255,"2021-05-23 06:00:00","2021-12-30 06:00:00",221,Slow
256,"2021-12-31 06:00:00","2022-11-12 06:00:00",316,Slow
257,"2022-11-18 06:00:00","2024-01-13 06:00:00",421,Slow
258,"2024-01-27 06:00:00","2024-09-02 06:00:00",219,Slow
259,"1991-07-03 15:30:00","2009-06-21 08:00:00",6563,Slow
260,"1991-09-29 20:18:00","2020-05-21 06:00:00",10462,Slow
261,"2020-05-21 06:00:00","2020-05-21 06:00:00",0,Fast
262,"2020-05-21 06:00:00","2020-05-21 06:00:00",0,Fast
263,"2020-05-21 06:00:00","2020-06-15 06:00:00",25,Fast
264,"2001-10-29 17:53:00","2017-04-22 06:00:00",5654,Slow
265,"2017-04-25 06:00:00","2019-03-07 06:00:00",681,Slow
266,"2019-03-15 05:00:00","2020-01-10 06:00:00",301,Slow
267,"2020-01-10 06:00:00","2020-09-28 06:00:00",262,Slow
268,"2020-09-28 06:00:00","2021-09-30 06:00:00",367,Slow
269,"2021-10-19 06:00:00","2022-04-22 06:00:00",185,Average
270,"2022-04-22 06:00:00","2023-02-02 06:00:00",286,Slow
271,"2023-02-09 06:00:00","2023-11-13 06:00:00",277,Slow
272,"2015-03-07 06:00:00","2020-01-19 06:00:00",1779,Slow
273,"2020-01-26 06:00:00","2020-05-11 06:00:00",106,Average
274,"2020-05-16 06:00:00","2020-11-26 06:00:00",194,Average
275,"2020-11-27 06:00:00","2021-04-20 06:00:00",144,Average
276,"2021-04-23 06:00:00","2021-11-16 06:00:00",207,Slow
277,"2021-11-22 06:00:00","2022-03-14 05:00:00",112,Average
278,"2022-03-15 05:00:00","2022-10-29 06:00:00",228,Slow
279,"2022-11-05 05:00:00","2023-03-02 06:00:00",117,Average
280,"2023-03-06 06:00:00","2023-10-21 06:00:00",229,Slow
281,"2023-10-22 06:00:00","2024-08-27 06:00:00",310,Slow
282,"2015-03-04 06:00:00","2017-10-10 06:00:00",951,Slow
283,"2017-11-10 06:00:00","2019-09-26 06:00:00",685,Slow
284,"2019-10-01 06:00:00","2020-01-27 06:00:00",118,Average
285,"2020-02-07 06:00:00","2020-03-19 05:00:00",41,Fast
286,"2020-03-19 05:00:00","2020-05-07 06:00:00",49,Fast
287,"2020-05-07 06:00:00","2020-05-21 06:00:00",14,Fast
288,"2020-05-21 06:00:00","2020-05-21 06:00:00",0,Fast
289,"2020-05-21 06:00:00","2020-09-14 06:00:00",116,Average
290,"2020-09-15 06:00:00","2021-03-28 06:00:00",194,Average
291,"2021-03-31 06:00:00","2022-01-14 06:00:00",289,Slow
292,"2022-01-14 06:00:00","2022-05-21 06:00:00",127,Average
293,"2022-05-22 06:00:00","2022-11-08 06:00:00",170,Average
294,"2022-11-08 06:00:00","2023-03-23 05:00:00",135,Average
295,"2023-03-23 05:00:00","2023-10-23 06:00:00",214,Slow
296,"2023-10-23 06:00:00","2024-02-08 06:00:00",108,Average
297,"2024-02-11 06:00:00","2024-09-26 06:00:00",228,Slow
298,"2015-03-29 06:00:00","2017-03-30 06:00:00",732,Slow
299,"2017-04-08 06:00:00","2018-05-05 06:00:00",392,Slow
300,"2018-05-11 06:00:00","2019-09-07 06:00:00",484,Slow
301,"2019-10-01 06:00:00","2020-04-06 06:00:00",188,Average
302,"2020-04-27 06:00:00","2020-05-21 06:00:00",24,Fast
303,"2020-05-21 06:00:00","2021-03-29 06:00:00",312,Slow
304,"2021-03-29 06:00:00","2022-03-06 06:00:00",342,Slow
305,"2022-03-18 05:00:00","2023-05-22 06:00:00",430,Slow
306,"2017-01-24 06:00:00","2020-01-08 06:00:00",1079,Slow
307,"2020-01-10 06:00:00","2022-01-21 06:00:00",742,Slow
308,"2022-02-26 06:00:00","2023-12-15 06:00:00",657,Slow
309,"2023-12-26 06:00:00","2024-10-11 06:00:00",290,Slow
310,"2017-02-04 06:00:00","2019-12-18 06:00:00",1047,Slow
311,"2019-12-18 06:00:00","2020-02-12 06:00:00",56,Fast
312,"2020-02-12 06:00:00","2020-04-04 06:00:00",52,Fast
313,"2020-04-04 06:00:00","2020-05-11 06:00:00",37,Fast
314,"2020-05-11 06:00:00","2020-12-11 06:00:00",214,Slow
315,"2021-03-21 05:00:00","2022-04-30 06:00:00",405,Slow
316,"2022-05-02 06:00:00","2023-04-25 06:00:00",358,Slow
317,"2023-05-07 06:00:00","2024-02-12 06:00:00",281,Slow
318,"2024-02-12 06:00:00","2024-08-04 06:00:00",174,Average
